epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.105,0.5807,2.29189,1.02282,0.86924,0.81059,0.90715,0.81387,0.42756,0.73515,0.809,0.000208001,0.000208001,0.000208001
2,417.039,0.55668,0.93887,0.97574,0.93221,0.89474,0.95965,0.89133,0.38137,0.51019,0.79961,0.000399848,0.000399848,0.000399848
3,620.859,0.55097,0.8223,0.97822,0.9457,0.91663,0.97639,0.90755,0.37939,0.44248,0.80095,0.000575194,0.000575194,0.000575194
4,823.576,0.53222,0.73178,0.9676,0.96607,0.95208,0.98238,0.89426,0.44055,0.37953,0.80231,0.00055075,0.00055075,0.00055075
5,1025.31,0.49346,0.63031,0.94949,0.97591,0.97586,0.99019,0.95607,0.28608,0.30025,0.77638,0.000526,0.000526,0.000526
6,1229.72,0.47653,0.56918,0.941,0.96654,0.98213,0.99159,0.93953,0.35339,0.30172,0.78906,0.00050125,0.00050125,0.00050125
7,202.984,0.44957,0.51222,0.92992,0.99068,0.99366,0.99459,0.96493,0.26995,0.2464,0.77652,0.0004765,0.0004765,0.0004765
8,408.328,0.43384,0.47949,0.92508,0.99388,0.99412,0.99464,0.97182,0.26494,0.21642,0.77468,0.00045175,0.00045175,0.00045175
9,612.755,0.41297,0.44719,0.9207,0.9926,0.99549,0.9949,0.97639,0.25908,0.20573,0.77276,0.000427,0.000427,0.000427
10,816.697,0.40563,0.42542,0.9167,0.99305,0.99642,0.99385,0.97324,0.24089,0.19678,0.77432,0.00040225,0.00040225,0.00040225
11,1021.88,0.38749,0.39427,0.9088,0.9973,0.9988,0.99499,0.97205,0.25989,0.19427,0.7735,0.0003775,0.0003775,0.0003775
12,1226.64,0.37631,0.37901,0.90311,0.9972,0.99812,0.99499,0.97735,0.23938,0.17977,0.77009,0.00035275,0.00035275,0.00035275
13,1432.45,0.37363,0.38365,0.90897,0.99648,0.99601,0.99483,0.98073,0.22789,0.17139,0.76833,0.000328,0.000328,0.000328
14,1636.71,0.36852,0.36989,0.90637,0.99583,0.99797,0.99487,0.97678,0.23597,0.17783,0.76788,0.00030325,0.00030325,0.00030325
15,1840.03,0.35617,0.34683,0.90056,0.99297,0.99678,0.99432,0.98266,0.20927,0.16939,0.76349,0.0002785,0.0002785,0.0002785
16,2039.65,0.24807,0.22665,0.81953,0.99492,0.99896,0.99487,0.98013,0.22761,0.17905,0.76583,0.00025375,0.00025375,0.00025375
17,2237.31,0.2426,0.21228,0.82153,0.99716,0.99727,0.99459,0.98166,0.21556,0.16237,0.76669,0.000229,0.000229,0.000229
18,2435.36,0.23101,0.19909,0.81575,0.99747,0.99947,0.995,0.98242,0.20263,0.15032,0.76297,0.00020425,0.00020425,0.00020425
19,2633.36,0.22307,0.1925,0.81298,0.99855,0.99934,0.995,0.98337,0.2085,0.15379,0.76461,0.0001795,0.0001795,0.0001795
20,2831.09,0.21678,0.18498,0.81255,0.99565,0.99908,0.995,0.98806,0.18407,0.14433,0.76317,0.00015475,0.00015475,0.00015475
21,3026.4,0.2055,0.16774,0.80743,0.99733,0.99816,0.995,0.98227,0.20495,0.14506,0.76372,0.00013,0.00013,0.00013
22,3222.47,0.19964,0.16217,0.80643,0.99843,0.99946,0.995,0.9875,0.17958,0.1328,0.76305,0.00010525,0.00010525,0.00010525
23,3417.83,0.19535,0.15892,0.80733,0.99839,0.99934,0.995,0.98723,0.19012,0.13289,0.76299,8.05e-05,8.05e-05,8.05e-05
24,3612.47,0.18464,0.14991,0.80356,0.99892,1,0.995,0.99079,0.16316,0.11987,0.76021,5.575e-05,5.575e-05,5.575e-05
25,3805.95,0.1801,0.14081,0.80455,0.99852,0.9993,0.995,0.98907,0.1626,0.11816,0.75896,3.1e-05,3.1e-05,3.1e-05
